LeftTable,LeftColumnIndex,LeftColumnName,RightTable,RightColumnIndex,RightColumnName,RoughScore,RelationRatio
1438042988458.74_20150728002308-00180-ip-10-236-191-2_465334151_6,3,Applicant,1438042988458.74_20150728002308-00145-ip-10-236-191-2_472508224_5,3,Applicant,0.02830652,0.8228571428571428
1438042988458.74_20150728002308-00180-ip-10-236-191-2_465334151_6,3,Applicant,1438042988458.74_20150728002308-00227-ip-10-236-191-2_476344627_7,3,Applicant,0.043284383,0.9108910891089109
1438042988458.74_20150728002308-00180-ip-10-236-191-2_465334151_6,3,Applicant,1438042988458.74_20150728002308-00216-ip-10-236-191-2_473587871_7,3,Applicant,0.05017071,0.6875
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,0,Categories,1438042988458.74_20150728002308-00245-ip-10-236-191-2_911891753_23,0,Categories,0.016732452,0.8
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,0,Categories,1438042988458.74_20150728002308-00018-ip-10-236-191-2_896746637_3,0,Categories,0.048644524,1.0
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,1,Comments,1438042988061.16_20150728002308-00277-ip-10-236-191-2_892744757_89,1,Comments,0.020140495,0.6666666666666666
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,1,Comments,1438042988458.74_20150728002308-00026-ip-10-236-191-2_921187934_9,1,Comments,0.021893298,1.0
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,1,Comments,1438042988458.74_20150728002308-00108-ip-10-236-191-2_913066426_130,1,Comments,0.030351209,0.5
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,1,Comments,1438042988061.16_20150728002308-00216-ip-10-236-191-2_876258545_65,1,Comments,0.035953376,0.5
1438042988061.16_20150728002308-00282-ip-10-236-191-2_894007386_5,1,Comments,1438042988458.74_20150728002308-00099-ip-10-236-191-2_897910204_60,1,Comments,0.036667146,1.0
