LeftTable,LeftColumnIndex,LeftColumnName,RightTable,RightColumnIndex,RightColumnName,RoughScore,RelationRatio
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988061.16_20150728002308-00330-ip-10-236-191-2_492653813_3,0,Date,0.008843909,0.08333333333333333
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988458.74_20150728002308-00338-ip-10-236-191-2_437779896_3,0,Date,0.0103162965,0.09090909090909091
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988458.74_20150728002308-00231-ip-10-236-191-2_603425236_11,0,Date,0.0108266305,0.09090909090909091
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988061.16_20150728002308-00219-ip-10-236-191-2_371727866_3,0,Date,0.011270222,0.08333333333333333
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988061.16_20150728002308-00342-ip-10-236-191-2_18022155_10,0,Date,0.013335424,0.1
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988061.16_20150728002308-00237-ip-10-236-191-2_150391306_11,0,Date,0.015057127,0.1
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988458.74_20150728002308-00228-ip-10-236-191-2_333207087_7,0,Date,0.015480269,0.1
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988061.16_20150728002308-00091-ip-10-236-191-2_19389274_10,0,Date,0.017498815,0.36363636363636365
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988458.74_20150728002308-00191-ip-10-236-191-2_485480724_3,0,Date,0.08674039,0.034482758620689655
1438042988458.74_20150728002308-00328-ip-10-236-191-2_17720148_6,0,Date,1438042988458.74_20150728002308-00201-ip-10-236-191-2_856246040_3,0,Date,0.09451168,0.0
1438042988061.16_20150728002308-00296-ip-10-236-191-2_871296295_1,2,MD5 Checksum,1438042988061.16_20150728002308-00300-ip-10-236-191-2_887225291_3,3,示例,0.07857053,0.4
1438042988061.16_20150728002308-00171-ip-10-236-191-2_216489601_2,0,Unnamed: 0,1438042988458.74_20150728002308-00172-ip-10-236-191-2_228563774_34,0,Unnamed: 0,0.07037954,0.16129032258064516
1438042988458.74_20150728002308-00180-ip-10-236-191-2_465334151_6,1,Filing date,1438042988061.16_20150728002308-00273-ip-10-236-191-2_463753526_6,1,Filing date,0.05757343,0.2857142857142857
1438042988458.74_20150728002308-00180-ip-10-236-191-2_465334151_6,2,Publication date,1438042988061.16_20150728002308-00273-ip-10-236-191-2_463753526_6,2,Publication date,0.053702045,0.3333333333333333
1438042988458.74_20150728002308-00158-ip-10-236-191-2_663513369_9,12,Score Before,1438042988458.74_20150728002308-00316-ip-10-236-191-2_660308679_7,9,Score Before,0.04882415,0.2
1438042988061.16_20150728002308-00142-ip-10-236-191-2_469976270_9,0,Date,1438042988061.16_20150728002308-00126-ip-10-236-191-2_480761842_8,0,Date,0.08749696,0.14285714285714285
1438042988458.74_20150728002308-00288-ip-10-236-191-2_526570372_0,1,Title,1438042988458.74_20150728002308-00124-ip-10-236-191-2_935254517_0,0,Title,0.0567189,0.07894736842105263
1438042988458.74_20150728002308-00288-ip-10-236-191-2_526570372_0,1,Title,1438042988061.16_20150728002308-00180-ip-10-236-191-2_769639727_1,0,Title,0.085741304,0.14285714285714285
1438042988458.74_20150728002308-00288-ip-10-236-191-2_526570372_0,1,Title,1438042988061.16_20150728002308-00059-ip-10-236-191-2_281445503_0,0,Title,0.087517075,0.4
1438042988458.74_20150728002308-00288-ip-10-236-191-2_526570372_0,1,Title,1438042988061.16_20150728002308-00142-ip-10-236-191-2_162515377_0,1,Title,0.087941386,0.03333333333333333
1438042988458.74_20150728002308-00288-ip-10-236-191-2_526570372_0,1,Title,1438042988458.74_20150728002308-00018-ip-10-236-191-2_373310740_2,2,Title,0.08847767,0.02
1438042988458.74_20150728002308-00145-ip-10-236-191-2_472508224_5,2,Publication date,1438042988061.16_20150728002308-00273-ip-10-236-191-2_463753526_6,2,Publication date,0.08031348,0.09523809523809523
1438042988458.74_20150728002308-00145-ip-10-236-191-2_472508224_5,2,Publication date,1438042988061.16_20150728002308-00178-ip-10-236-191-2_479391037_6,2,Publication date,0.09113755,0.2857142857142857
1438042988061.16_20150728002308-00241-ip-10-236-191-2_232203794_0,2,Date,1438042988061.16_20150728002308-00267-ip-10-236-191-2_87779055_11,0,Date,0.038817845,0.3
1438042988061.16_20150728002308-00241-ip-10-236-191-2_232203794_0,2,Date,1438042988061.16_20150728002308-00076-ip-10-236-191-2_227232758_0,2,Date,0.05422055,0.0
1438042988061.16_20150728002308-00241-ip-10-236-191-2_232203794_0,2,Date,1438042988061.16_20150728002308-00238-ip-10-236-191-2_473491228_8,0,Date,0.066433035,0.0625
1438042988061.16_20150728002308-00241-ip-10-236-191-2_232203794_0,2,Date,1438042988061.16_20150728002308-00168-ip-10-236-191-2_236614382_0,2,Date,0.06691151,0.2
1438042988061.16_20150728002308-00241-ip-10-236-191-2_232203794_0,2,Date,1438042988458.74_20150728002308-00245-ip-10-236-191-2_484381506_8,0,Date,0.07401609,0.0
1438042988061.16_20150728002308-00241-ip-10-236-191-2_232203794_0,2,Date,1438042988458.74_20150728002308-00185-ip-10-236-191-2_484166689_9,0,Date,0.07883995,0.14285714285714285
